candidate_id,geo_id,series_type,series_key,comparison,direction,baseline_turn_date,challenger_turn_date,baseline_turn_value_raw,baseline_turn_value_review,challenger_turn_value_raw,challenger_turn_value_review,signed_lag_months,absolute_lag_months,matched,baseline_meaningful_turn_count,challenger_meaningful_turn_count,matched_turn_count,baseline_unmatched_turn_count,challenger_unmatched_turn_count,matched_turn_share,median_absolute_lag_months_by_series,p90_absolute_lag_months_by_series,maximum_absolute_lag_months_by_series,review_smoother,turn_prominence_minimum,turn_minimum_separation_months,turn_prominence_window_months,turn_prominence_min_side_observations,turn_prominence_min_side_coverage_months,turn_max_match_window_months,source,flag_type,severity,detail
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,,peak,2020-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,,peak,2022-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,,peak,2025-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,,trough,2019-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,,trough,,2017-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,peak,2017-02-28 00:00:00,2016-04-30 00:00:00,,,,,-10.0,,,,,,,,,,,,,,,,,,,chronology_flags,chronology_inversion_review,review,challenger turn materially precedes baseline/raw-source turn
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,trough,2017-08-31 00:00:00,2016-11-30 00:00:00,,,,,-9.0,,,,,,,,,,,,,,,,,,,chronology_flags,chronology_inversion_review,review,challenger turn materially precedes baseline/raw-source turn
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,trough,2018-06-30 00:00:00,2017-11-30 00:00:00,,,,,-7.0,,,,,,,,,,,,,,,,,,,chronology_flags,chronology_inversion_review,review,challenger turn materially precedes baseline/raw-source turn
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,gfc_housing_correction has 0 overlapping observations
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,peak,2020-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,peak,2025-02-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,trough,2016-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,,trough,2022-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,gfc_housing_correction has 0 overlapping observations
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,peak,2025-02-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,peak,2025-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,peak,,2016-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,trough,2016-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,trough,2021-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,,trough,2022-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,,trough,,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,gfc_housing_correction has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,peak,2018-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,peak,2023-02-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,peak,2024-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,peak,,2016-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,peak unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,2016-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,2020-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,2021-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,2022-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,,2018-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,affordability,,trough,,2024-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,unmatched_turning_point,review,trough unmatched
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,gfc_housing_correction has 0 overlapping observations
price_family_ma9_structural_linked,district_of_columbia_dc__county,dimension_score,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,chronology_flags,missing_segment_coverage,review,pre_gfc_early_history has 0 overlapping observations
